,id,idioms,ABnn,AnBn,AnnB,nABn,nAnB,nnAB,PTT_WomenTalk,China_text,Apple_text,PTT_Hate,PTT_Gossiping,PTT_AllTogether,pooled
433,434,百無一是,0,0,0,0,1,0,0,2,0,0,0,0,2
706,707,千兵萬馬,0,0,0,0,1,0,0,2,0,0,0,0,2
396,397,千喚萬喚,0,0,0,0,1,0,0,0,2,0,0,0,2
575,576,萬死一生,0,0,0,0,1,0,0,2,0,0,0,0,2
850,851,三年五歲,0,0,0,0,1,0,0,2,0,0,0,0,2
806,807,十二金牌,0,0,0,0,0,1,0,2,0,0,0,0,2
110,111,一觴一詠,0,0,0,0,1,0,0,2,0,0,0,0,2
919,920,千推萬阻,0,0,0,0,1,0,0,1,1,0,0,0,2
251,252,一龍一蛇,0,0,0,0,1,0,0,0,2,0,0,0,2
851,852,半疑半信,0,0,0,0,1,0,0,0,2,0,0,0,2
499,500,一揮千金,0,0,0,0,1,0,0,1,0,0,0,0,1
760,761,千載一逢,0,0,0,0,1,0,0,0,0,0,1,0,1
660,661,千難萬險,0,0,0,0,1,0,0,1,0,0,0,0,1
946,947,九鼎一言,0,0,0,0,1,0,0,1,0,0,0,0,1
757,758,伏屍百萬,1,0,0,0,0,0,0,0,0,0,1,0,1
233,234,一本十利,0,0,0,0,1,0,0,0,0,0,1,0,1
391,392,千古一人,0,0,0,0,1,0,0,0,0,0,1,0,1
121,122,一般無二,0,0,0,1,0,0,0,1,0,0,0,0,1
558,559,四六駢儷,0,0,0,0,0,1,1,0,0,0,0,0,1
542,543,一倡百和,0,0,0,0,1,0,0,1,0,0,0,0,1
249,250,千紅萬紫,0,0,0,0,1,0,0,1,0,0,0,0,1
397,398,四鄰八舍,0,0,0,0,1,0,0,0,0,0,1,0,1
96,97,百八煩惱,0,0,0,0,0,1,0,1,0,0,0,0,1
615,616,千鈞一發,0,0,0,0,1,0,0,0,0,0,1,0,1
663,664,一笑千金,0,0,0,0,1,0,0,1,0,0,0,0,1
858,859,千思萬想,0,0,0,0,1,0,1,0,0,0,0,0,1
774,775,五十笑百,0,1,0,1,0,1,0,1,0,0,0,0,1
376,377,十萬火速,0,0,0,0,0,1,0,0,1,0,0,0,1
772,773,推三拉四,0,1,0,0,0,0,0,0,0,0,1,0,1
